,时间,当前温度,上一次温度,模块内部时间,Suc
500,03-20 17:48:27.665,52,52,Tm=17:46,0 
501,03-20 17:49:17.784,52,52,Tm=17:47,0 
502,03-20 17:50:07.734,52,52,Tm=17:48,0 
503,03-20 17:50:57.849,52,52,Tm=17:48,0 
504,			,52,52,Tm=17:49,0 
505,03-20 17:52:37.964,52,52,Tm=17:50,0 
506,03-20 17:53:27.916,52,52,Tm=17:51,0 
507,03-20 17:54:18.047,52,52,Tm=17:52,0 
508,03-20 17:55:07.991,52,52,Tm=17:53,0 
509,03-20 17:55:58.096,52,52,Tm=17:53,0 
510,03-20 17:56:48.047,52,52,Tm=17:54,0 
511,03-20 17:57:38.163,52,52,Tm=17:55,0 
512,03-20 17:58:28.112,52,52,Tm=17:56,0 
513,03-20 17:59:18.236,52,52,Tm=17:57,0 
514,Cmode=7,51,52,Tm=17:58,0 
515,03-20 18:00:58.406,52,51,Tm=17:58,0 
516,03-20 18:01:48.352,52,52,Tm=17:59,0 
517,03-20 18:02:38.474,52,52,Tm=18:00,0 
518,			,51,52,Tm=18:01,0 
519,03-20 18:04:18.580,51,51,Tm=18:02,0 
520,03-20 18:05:08.537,51,51,Tm=18:03,0 
521,03-20 18:05:58.662,51,51,Tm=18:03,0 
522,03-20 18:06:48.604,51,51,Tm=18:04,0 
523,03-20 18:07:38.714,51,51,Tm=18:05,0 
524,03-20 18:08:28.699,51,51,Tm=18:06,0 
525,03-20 18:09:18.785,51,51,Tm=18:07,0 
526,03-20 18:10:08.743,51,51,Tm=18:08,0 
527,03-20 18:10:58.891,51,51,Tm=18:08,0 
528,03-20 18:11:48.805,51,51,Tm=18:09,0 
529,03-20 18:12:38.921,51,51,Tm=18:10,0 
530,03-20 18:13:28.873,51,51,Tm=18:11,0 
531,03-20 18:14:18.986,51,51,Tm=18:12,0 
532,03-20 18:15:08.934,51,51,Tm=18:13,0 
533,03-20 18:15:59.099,51,51,Tm=18:13,0 
534,03-20 18:16:49.009,51,51,Tm=18:14,0 
535,			,51,51,Tm=18:15,0 
536,03-20 18:18:29.077,51,51,Tm=18:16,0 
537,03-20 18:19:19.181,51,51,Tm=18:17,0 
538,03-20 18:20:09.140,51,51,Tm=18:18,0 
539,03-20 18:21:49.959,51,51,Tm=18:19,0 
540,03-20 18:22:40.148,51,51,Tm=18:20,0 
541,03-20 18:23:30.040,51,51,Tm=18:21,0 
542,03-20 18:24:20.182,51,51,Tm=18:22,0 
543,03-20 18:25:10.106,51,51,Tm=18:23,0 
544,03-20 18:26:50.639,53,52,Tm=18:24,0 
545,03-20 18:27:40.344,53,53,Tm=18:25,0 
546,03-20 18:28:30.228,53,53,Tm=18:26,0 
547,Cmode=7,53,53,Tm=18:27,0 
548,03-20 18:30:10.276 0Cmode=7,52,53,Tm=18:28,0 
549,03-20 18:31:00.394,50,52,Tm=18:28,0 
550,03-20 18:31:50.294,49,50,Tm=18:29,1 
551,03-20 18:32:40.630,48,49,Tm=18:30,0 
552,03-20 18:33:30.373,46,48,Tm=18:31,0 
553,03-20 18:34:20.444,45,46,Tm=18:32,1 
554,03-20 18:35:10.374,45,45,Tm=18:33,0 
555,03-20 18:36:00.569 0Cmode=7,44,45,Tm=18:33,0 
556,Cmode=7,Suc=Done! Calc5Degree! ,,,
557,03-20 18:36:50.546,43,44,Tm=18:34,0 
558,Cmode=7,Suc=5Deg_short! ,,,
559,03-20 18:38:30.577,42,42,Tm=18:36,0 
560,Cmode=7,Suc=5Deg_short! ,,,
561,03-20 18:39:20.716,43,42,Tm=18:37,0 
562,Cmode=7,Suc=5Deg_short! ,,,
563,03-20 18:40:10.636 0Cmode=7,44,43,Tm=18:38,0 
564,03-20 18:41:00.758,45,44,Tm=18:38,0 
565,03-20 18:42:19.554,46,45,Tm=18:40,0 
566,03-20 18:43:09.756,47,46,Tm=18:41,0 
567,			,49,47,Tm=18:41,0 
